1: NUNCA DEJES DE APRENDER | motivacional
2: EL CONOCIMIENTO ES PODER | motivacional
3: LA PRACTICA HACE AL MAESTRO | motivacional
4: EL EXITO SE CONSTRUYE DIA A DIA | motivacional
5: CADA ERROR ENSENA ALGO NUEVO | motivacional
6: LAS MATEMATICAS SON UN LENGUAJE | celebre
7: LA LOGICA ES EL CORAZON DEL PENSAR | celebre
8: SIN PASION NO HAY PROGRESO | motivacional
9: SUMA TU ESFUERZO MULTIPLICA RESULTADOS | motivacional
10: LA PACIENCIA TAMBIEN ES TALENTO | motivacional
11: EL ORDEN ES LA BASE DEL EXITO | motivacional
12: EL NUMERO PI ES INFINITO | curiosidad
13: LOS VECTORES TIENEN DIRECCION | curiosidad
14: LA MATRIZ IDENTIDAD ES UNICA | curiosidad
15: TODO SISTEMA TIENE UNA SOLUCION | curiosidad
16: EL LIMITE EXISTE SI ES FINITO | curiosidad
17: LA INERCIA ES RESISTENCIA AL CAMBIO | celebre
18: LA CONSTANCIA SUPERA EL TALENTO | motivacional
19: EL TRABAJO DURO NO FALLA | motivacional
20: APRENDE ALGO NUEVO CADA DIA | motivacional
21: EL SABER TE HACE LIBRE | motivacional
22: EL CONOCIMIENTO NO OCUPA LUGAR | celebre
23: LA CIENCIA NACE DE LA DUDA | celebre
24: NO HAY APRENDIZAJE SIN ERROR | motivacional
25: PENSAR ES RESOLVER PROBLEMAS | motivacional
26: LA MATEMATICA ES BELLEZA PURA | celebre
27: DIVIDE Y VENCERAS | celebre
28: TODO TIENE UNA SOLUCION | motivacional
29: LA VIDA ES UNA ECUACION | motivacional
30: LOS DATOS CUENTAN HISTORIAS | curiosidad
31: LA SUMA DE ANGULOS DE UN TRIANGULO ES CIENTO OCHENTA | curiosidad
32: LA FUNCION CRECE CON EL ESFUERZO | motivacional
33: LAS IDEAS SE MULTIPLICAN AL COMPARTIRSE | motivacional
34: EL TIEMPO ES UNA VARIABLE | curiosidad
35: EL CAMBIO ES CONSTANTE | motivacional
36: LA PERSEVERANCIA TRANSFORMA | motivacional
37: LA VIDA ES UNA MATRIZ | motivacional
38: NUNCA ES TARDE PARA EMPEZAR | motivacional
39: LA PACIENCIA ES CLAVE | motivacional
40: EL APRENDIZAJE NO TERMINA | motivacional
41: LA EXPERIENCIA SUMA VALOR | motivacional
42: LA MENTE ES UNA MAQUINA | motivacional
43: SIN PRACTICA NO HAY DOMINIO | motivacional
44: LA EDUCACION CAMBIA VIDAS | motivacional
45: LA MATEMATICA NO MIENTE | celebre
46: EL ALGEBRA ORGANIZA EL MUNDO | celebre
47: EL CONOCER NO TIENE FIN | motivacional
48: EL ANALISIS DA CLARIDAD | motivacional
49: TODO ES RELATIVO | celebre
50: EL PENSAR NOS DEFINE | celebre
51: APRENDE HACIENDO | motivacional
52: LA DEDICACION TODO LO LOGRA | motivacional
53: LOS NUMEROS HABLAN | curiosidad
54: LA SIMETRIA ES ARMONIA | celebre
55: NUNCA TE RINDAS | motivacional
56: LA FE EN TI ES PODER | motivacional
57: EL SABER ES UNA FORTALEZA | motivacional
58: TODO TIENE UN PATRON | curiosidad
59: EL UNIVERSO SIGUE ECUACIONES | celebre
60: LA VERDAD ESTA EN LOS DATOS | motivacional
61: EL QUE PREGUNTA APRENDE | motivacional
62: LAS IDEAS ILUMINAN | motivacional
63: EL CAMBIO REQUIERE VALOR | motivacional
64: EL CALCULO ES PREVISION | curiosidad
65: LA LOGICA GUIA EL RAZONAR | motivacional
66: LA DUDA ES EL COMIENZO DEL SABER | celebre
67: CADA VECTOR TIENE UN SENTIDO | curiosidad
68: EL MUNDO ES NUMERO | celebre
69: EL PENSAMIENTO CREA CAMINOS | motivacional
70: EL SABER ES UN MAPA | motivacional
71: LA DISCIPLINA SUPERA EL TALENTO | motivacional
72: PI ES MAS QUE UN NUMERO | curiosidad
73: LA CONSTANCIA DA RESULTADOS | motivacional
74: CADA PROBLEMA TIENE UNA CLAVE | motivacional
75: LA CREATIVIDAD ES RESOLVER DIFERENTE | motivacional
76: EL TIEMPO Y EL ESFUERZO SE SUMAN | motivacional
77: SIN CURIOSIDAD NO HAY CIENCIA | celebre
78: EL MUNDO SE MUEVE POR IDEAS | motivacional
79: EL TRABAJO EN EQUIPO MULTIPLICA | motivacional
80: LA PACIENCIA Y LA PRACTICA SUMAN | motivacional
81: LA LOGICA NUNCA FALLA | motivacional
82: LA DETERMINACION CREA RESULTADOS | motivacional
83: APRENDER ES EVOLUCIONAR | motivacional
84: LA SIMETRIA INSPIRA BELLEZA | celebre
85: LAS MATEMATICAS EXPLICAN EL MUNDO | celebre
86: EL NUMERO CERO CAMBIO LA HISTORIA | curiosidad
87: TODO PUNTO TIENE UNA COORDENADA | curiosidad
88: EL CONOCIMIENTO CRECE COMPARTIENDO | motivacional
89: EL TALENTO SE ENTRENA | motivacional
90: LA CONSTANCIA ES CLAVE | motivacional
91: EL SABER ES UN VIAJE | motivacional
92: LA RAZON ES LUZ | celebre
93: LA FORMULA DEL EXITO ES CONSTANCIA | motivacional
94: CADA DIA CUENTA | motivacional
95: EL MUNDO ES GEOMETRIA | curiosidad
96: LA MENTE MATEMATICA ANALIZA TODO | motivacional
97: EL APRENDIZAJE REQUIERE TIEMPO | motivacional
98: EL CONOCIMIENTO TRAE LIBERTAD | motivacional
99: EL ORDEN SIMPLIFICA | motivacional
100: LA ECUACION BUSCA EQUILIBRIO | curiosidad
101: EL SABER TRANSFORMA | motivacional
102: CADA PROCESO DEJA HUELLAS | motivacional
103: LA ENERGIA NO SE CREA NI SE DESTRUYE | celebre
104: EL CAMBIO COMIENZA EN TI | motivacional
105: EL TRABAJO INTELIGENTE RINDE | motivacional
106: EL PROGRESO NACE DE LA DUDA | celebre
107: EL PENSAMIENTO ES FUERZA | motivacional
108: LA ANALITICA DESCUBRE PATRONES | curiosidad
109: EL CALCULO PREDICE EL FUTURO | curiosidad
110: TODO SISTEMA TIENE VARIABLES | curiosidad
111: LA VIDA SE RESUELVE CON LOGICA | motivacional
112: LA MENTE ES UN LABORATORIO | motivacional
113: EL SABER SE MULTIPLICA | motivacional
114: LOS NUMEROS SON IDEAS | celebre
115: LA CIENCIA UNE EL MUNDO | motivacional
116: EL EXITO ES UNA SUMA DE PASOS | motivacional
117: EL CONOCIMIENTO ES CAMINO | motivacional
118: LAS MATRICES GUARDAN INFORMACION | curiosidad
119: LA EDUCACION ES PODER | motivacional
120: LA LOGICA SIEMPRE FUNCIONA | motivacional
